,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,saskylakh,71.9167,114.0833,-41.51,80,89,1.48,RU,1611782162
91,butaritari,3.0707,172.7902,80.56,79,95,10.42,KI,1611782136
92,cabra,37.4725,-4.4421,53.6,100,76,4.41,ES,1611782654
93,de-kastri,51.4667,140.7833,-3.68,88,100,13.98,RU,1611782654
94,punta arenas,-53.15,-70.9167,50.0,53,75,26.46,CL,1611781924
95,urkut,47.085,17.6439,28.4,93,0,2.3,HU,1611782654
96,krasnoselkup,65.7,82.4667,-39.24,82,17,3.69,RU,1611782159
97,okhotsk,59.3833,143.3,-13.07,79,71,10.92,RU,1611782201
98,smithers,54.7804,-127.1743,19.4,68,90,9.22,CA,1611782654
99,rocha,-34.4833,-54.3333,74.55,62,0,12.17,UY,1611782135
100,longyearbyen,78.2186,15.6401,6.8,66,20,16.11,SJ,1611782191
101,vanimo,-2.6741,141.3028,76.69,85,100,5.7,PG,1611782217
102,campbell river,50.0163,-125.2446,37.0,100,90,3.02,CA,1611782655
103,batagay-alyta,67.8006,130.4114,-42.34,79,10,1.52,RU,1611782655
104,tiznit,29.5833,-9.5,65.46,42,0,1.28,MA,1611782188
105,northam,51.0333,-4.2167,52.0,97,100,7.0,GB,1611782656
106,comodoro rivadavia,-45.8667,-67.5,57.2,77,40,9.22,AR,1611782656
107,fortuna,40.5982,-124.1573,48.0,87,75,17.27,US,1611782146
108,saint-philippe,-21.3585,55.7679,78.8,69,0,4.61,RE,1611782140
109,leningradskiy,69.3833,178.4167,-17.14,87,100,3.76,RU,1611782157
110,lorengau,-2.0226,147.2712,82.15,79,100,7.67,PG,1611782657
111,gisborne,-38.6533,178.0042,77.07,56,0,9.53,NZ,1611782657
112,puerto ayora,-0.7393,-90.3518,86.0,62,20,20.71,EC,1611782137
113,tilichiki,60.4667,166.1,-11.15,91,92,9.04,RU,1611782180
114,lazarev,52.225,141.5131,1.42,94,100,13.69,RU,1611782657
115,tessalit,20.1986,1.0114,68.07,21,0,9.42,ML,1611782657
116,kapaa,22.0752,-159.319,77.0,83,90,18.41,US,1611782174
117,komsomolskiy,40.4272,71.7189,30.2,59,0,6.91,UZ,1611782197
118,verkhoyansk,67.5447,133.385,-48.89,74,68,0.36,RU,1611782658
119,naryan-mar,67.6713,53.087,-5.87,91,100,17.43,RU,1611782658
120,yellowknife,62.456,-114.3525,-8.0,77,90,2.3,CA,1611782171
121,neuquen,-38.9516,-68.0591,75.2,27,0,8.05,AR,1611782168
122,fairbanks,64.8378,-147.7164,-18.4,69,75,1.74,US,1611782164
123,bilibino,68.0546,166.4372,-10.52,84,100,6.2,RU,1611782659
124,katsuura,35.1333,140.3,46.4,61,75,12.66,JP,1611782184
125,grindavik,63.8424,-22.4338,32.0,59,0,19.57,IS,1611782184
126,acari,-15.4311,-74.6158,81.23,51,64,10.8,PE,1611782659
127,fomboni,-12.28,43.7425,83.3,68,10,7.36,KM,1611782165
128,creel,27.75,-107.6333,56.23,33,95,8.39,MX,1611782659
129,kabala,9.5833,-11.55,75.96,19,0,2.21,SL,1611782660
130,atar,20.5169,-13.0499,73.83,17,0,10.45,MR,1611782216
131,port hardy,50.6996,-127.4199,41.0,70,75,10.36,CA,1611782112
132,auki,-8.7676,160.7034,81.41,83,98,13.29,SB,1611782215
133,ardalstangen,61.2371,7.6983,10.4,85,20,2.06,NO,1611782532
134,ahipara,-35.1667,173.1667,69.69,74,56,5.28,NZ,1611782172
135,paragominas,-2.9667,-47.4833,78.03,92,89,4.54,BR,1611782660
136,westport,41.1415,-73.3579,36.0,69,90,11.5,US,1611781906
137,talnakh,69.4865,88.3972,-25.11,83,99,4.07,RU,1611782138
138,khorixas,-20.3667,14.9667,70.77,65,89,10.98,NA,1611782397
139,margate,51.3813,1.3862,46.99,86,100,3.02,GB,1611782198
140,polunochnoye,60.8697,60.4153,17.1,97,100,4.32,RU,1611782661
141,cidreira,-30.1811,-50.2056,73.29,95,100,7.67,BR,1611782145
142,iqaluit,63.7506,-68.5145,-4.0,71,1,16.11,CA,1611782135
143,east london,-33.0153,27.9116,69.75,80,94,13.96,ZA,1611782182
144,thompson,55.7435,-97.8558,-11.2,77,40,3.44,CA,1611782146
145,pangnirtung,66.1451,-65.7125,-5.8,84,1,3.44,CA,1611782178
146,sulangan,11.1373,123.7228,79.9,82,100,15.9,PH,1611782662
147,juneau,58.3019,-134.4197,21.2,38,20,18.41,US,1611782662
148,shangrao,28.4532,117.9686,46.85,89,99,7.09,CN,1611782662
149,cayenne,4.9333,-52.3333,80.6,74,0,5.75,GF,1611782177
150,tiksi,71.6872,128.8694,-39.03,82,89,2.66,RU,1611782140
151,lagoa,39.05,-27.9833,60.37,83,95,30.29,PT,1611782663
152,pisco,-13.7,-76.2167,77.0,61,0,10.36,PE,1611782060
153,nikolskoye,59.7035,30.7861,33.8,93,90,2.24,RU,1611782137
154,xacmaz,41.4635,48.806,45.03,63,43,1.3,AZ,1611782663
155,odienne,9.51,-7.5692,77.41,18,0,3.15,CI,1611782663
156,sibolga,1.7427,98.7792,74.82,81,100,4.27,ID,1611782184
157,kakonko,-3.2828,30.9642,63.7,89,100,2.62,TZ,1611782663
158,sergeyevka,53.88,67.4158,17.44,97,35,11.77,KZ,1611782664
159,college,64.8569,-147.8028,-18.4,69,75,1.72,US,1611782218
160,camopi,3.1655,-52.3158,73.26,98,100,2.42,GF,1611782664
161,ilulissat,69.2167,-51.1,8.6,56,0,3.44,GL,1611782137
162,bingol,38.8847,40.4939,30.15,89,100,3.56,TR,1611782664
163,taksimo,56.3444,114.8794,-29.0,75,61,1.9,RU,1611782664
164,itoman,26.1247,127.6694,62.6,67,75,14.97,JP,1611782664
165,vardo,70.3705,31.1107,24.8,86,75,23.02,NO,1611782206
166,roald,62.5833,6.1333,30.2,100,75,10.36,NO,1611782206
167,petropavlovsk-kamchatskiy,53.0452,158.6483,8.6,66,0,11.18,RU,1611782622
168,chuy,-33.6971,-53.4616,76.68,77,3,12.62,UY,1611782179
169,hobart,-42.8794,147.3294,57.0,54,75,5.75,AU,1611781988
170,port-gentil,-0.7193,8.7815,77.0,94,75,2.3,GA,1611782665
171,yanam,16.7333,82.2167,68.99,90,0,2.17,IN,1611782665
172,taltal,-25.4,-70.4833,72.36,60,22,8.88,CL,1611782666
173,lompoc,34.6391,-120.4579,51.8,87,90,16.11,US,1611782226
174,lamar,33.6668,-95.5836,45.0,57,20,16.11,US,1611782666
175,mae sot,16.7167,98.5667,68.38,65,0,0.94,TH,1611782200
176,vaitape,-16.5167,-151.75,81.54,72,60,14.65,PF,1611782666
177,nuuk,64.1835,-51.7216,23.0,50,1,14.97,GL,1611782666
178,ancud,-41.8697,-73.8203,68.0,55,75,11.5,CL,1611782190
179,ternate,0.8,127.4,79.7,78,100,5.08,ID,1611782667
180,zhezkazgan,47.8043,67.7144,10.45,97,39,5.35,KZ,1611782667
181,dingle,10.9995,122.6711,75.15,90,100,7.76,PH,1611782146
182,sechura,-5.5569,-80.8222,84.61,48,26,15.3,PE,1611782667
183,upernavik,72.7868,-56.1549,-2.16,91,100,4.03,GL,1611782161
184,nazareno etla,17.1783,-96.8239,83.07,20,0,9.28,MX,1611782667
185,souillac,-20.5167,57.5167,73.4,88,20,8.05,MU,1611782173
186,meulaboh,4.1363,96.1285,75.74,86,100,5.5,ID,1611782229
187,swift current,50.2834,-107.8014,8.6,85,1,14.97,CA,1611782668
188,constitucion,-35.3333,-72.4167,65.17,55,67,22.82,CL,1611782460
189,hasaki,35.7333,140.8333,36.0,80,75,8.05,JP,1611782144
190,usinsk,65.9939,57.5281,-1.39,93,100,15.75,RU,1611782216
191,faanui,-16.4833,-151.75,81.5,72,64,14.45,PF,1611782220
192,padang,-0.9492,100.3543,71.6,100,40,5.17,ID,1611782232
193,kysyl-syr,63.8986,122.7617,-46.86,76,100,2.82,RU,1611782413
194,bruck an der leitha,48.0167,16.7667,30.2,74,0,3.44,AT,1611782669
195,port lincoln,-34.7333,135.8667,66.22,78,79,9.55,AU,1611782200
196,codrington,-38.2667,141.9667,60.6,82,75,13.02,AU,1611782148
197,ayolas,-27.4,-56.9,81.61,78,13,4.34,PY,1611782652
198,khatanga,71.9667,102.5,-29.69,80,0,7.49,RU,1611782160
199,arlit,18.7369,7.3853,67.8,21,0,8.41,NE,1611782413
200,nesbyen,60.5681,9.1027,10.99,88,2,3.22,NO,1611782532
201,north myrtle beach,33.816,-78.68,54.0,100,90,6.91,US,1611782670
202,vila franca do campo,37.7167,-25.4333,64.0,94,40,19.57,PT,1611782670
203,makaha,21.4694,-158.2175,82.4,54,40,9.22,US,1611782670
204,adrar,20.5022,-10.0711,69.57,21,0,9.95,MR,1611782670
205,te anau,-45.4167,167.7167,47.91,79,71,2.64,NZ,1611781878
206,dunedin,-45.8742,170.5036,57.0,57,13,20.0,NZ,1611782670
207,half moon bay,37.4636,-122.4286,54.0,82,75,11.5,US,1611782154
208,san cristobal,7.7669,-72.225,86.0,54,40,11.5,VE,1611782083
209,jieshi,22.8134,115.8257,62.01,81,5,8.99,CN,1611782671
210,gizo,-8.103,156.8419,84.31,76,86,10.47,SB,1611782671
211,berezanka,46.8526,31.388,34.14,97,100,17.76,UA,1611782671
212,amuntai,-2.4177,115.2494,72.34,98,81,0.51,ID,1611782671
213,isangel,-19.55,169.2667,82.38,78,84,17.49,VU,1611782139
214,trelew,-43.249,-65.3051,69.3,31,100,14.29,AR,1611782671
215,degtyarsk,56.704,60.0879,21.2,86,20,8.95,RU,1611782671
216,deep river,46.1001,-77.4995,21.99,68,90,11.5,CA,1611782672
217,batemans bay,-35.7167,150.1833,63.0,91,97,1.99,AU,1611782171
218,barra do garcas,-15.89,-52.2567,78.8,83,75,9.22,BR,1611782199
219,mahebourg,-20.4081,57.7,73.4,88,20,8.05,MU,1611782142
220,lincoln,40.8,-96.667,26.01,68,1,5.75,US,1611782608
221,hofn,64.2539,-15.2082,25.77,89,1,14.12,IS,1611782139
222,grand forks,47.9417,-97.4337,0.0,78,90,4.61,US,1611782673
223,jos,9.9167,8.9,66.81,25,32,4.88,NG,1611782673
224,los llanos de aridane,28.6585,-17.9182,64.99,82,20,6.91,ES,1611782673
225,chokurdakh,70.6333,147.9167,-14.91,89,100,14.0,RU,1611782153
226,vestmanna,62.1564,-7.1664,32.0,74,20,13.8,FO,1611782189
227,ribeira grande,38.5167,-28.7,60.8,88,40,18.41,PT,1611782160
228,spas-demensk,54.4122,34.0226,23.59,98,99,2.21,RU,1611782674
229,baiyin,36.5583,104.2081,21.0,72,0,6.71,CN,1611782674
230,santa rosa,14.3122,121.1114,77.0,100,20,1.14,PH,1611782216
231,saint-pierre,-21.3393,55.4781,78.8,69,0,4.61,RE,1611782170
232,bilma,18.6853,12.9164,66.92,24,0,13.2,NE,1611782176
233,nabire,-3.3667,135.4833,76.35,92,100,3.0,ID,1611782162
234,bengkulu,-3.8004,102.2655,74.53,92,100,6.67,ID,1611782104
235,broome,42.2506,-75.833,27.0,80,90,10.36,US,1611781994
236,kualakapuas,-3.0091,114.3876,75.2,100,75,3.6,ID,1611782675
237,olden,61.8364,6.8064,21.2,86,20,9.22,NO,1611782675
238,belyy yar,53.6039,91.3903,5.0,85,100,4.47,RU,1611782675
239,kanungu,-0.9575,29.7897,63.86,67,61,4.34,UG,1611782675
240,thinadhoo,0.5333,72.9333,81.52,75,56,16.89,MV,1611782162
241,esperance,-33.8667,121.9,60.8,94,90,8.05,AU,1611782141
242,brigantine,39.4101,-74.3646,37.4,56,90,12.66,US,1611782676
243,ambovombe,-25.1667,46.0833,76.68,85,0,13.49,MG,1611782676
244,mount isa,-20.7333,139.5,80.6,69,0,6.91,AU,1611782467
245,ytre arna,60.4667,5.4333,23.0,93,0,3.33,NO,1611782676
246,kuusamo,65.9667,29.1833,12.2,85,90,6.91,FI,1611782676
247,cervo,43.6702,-7.4101,60.01,79,100,4.0,ES,1611782677
248,paamiut,61.994,-49.6678,29.07,85,95,7.36,GL,1611782677
249,gayeri,12.6497,0.4931,74.89,16,23,9.35,BF,1611782677
250,cedar city,37.6775,-113.0619,30.2,69,90,19.57,US,1611782677
251,sinegorye,62.0788,150.477,-32.84,79,100,1.72,RU,1611782677
252,bom jesus,-9.0744,-44.3586,86.56,47,91,2.66,BR,1611782677
253,nanortalik,60.1432,-45.2371,25.48,90,100,3.13,GL,1611782181
254,waipawa,-41.4122,175.5153,66.2,82,75,16.11,NZ,1611782678
255,general roca,-39.0333,-67.5833,75.2,27,0,8.05,AR,1611782678
256,yangjiang,21.85,111.9667,62.13,82,65,1.12,CN,1611782678
257,fort nelson,58.8053,-122.7002,-5.8,59,40,8.05,CA,1611782678
258,aykhal,66.0,111.5,-35.25,77,2,1.63,RU,1611782219
259,russell,32.3502,-85.1999,62.01,72,90,6.91,US,1611782112
260,byron bay,-28.65,153.6167,77.0,73,40,10.36,AU,1611782206
261,coihaique,-45.5752,-72.0662,57.2,54,75,6.91,CL,1611782679
262,madinat sittah uktubar,29.8167,31.05,60.8,72,0,8.05,EG,1611782679
263,harper,4.375,-7.7169,78.8,84,3,7.36,LR,1611782162
264,hambantota,6.1241,81.1185,74.32,77,26,13.69,LK,1611782171
265,saint-augustin,51.226,-58.6502,18.1,93,85,9.26,CA,1611782583
266,marondera,-18.1853,31.5519,60.17,97,82,3.36,ZW,1611782679
267,miri,4.4148,114.0089,77.0,94,20,4.61,MY,1611782680
268,khani,41.9563,42.9566,60.8,21,0,26.46,GE,1611782680
269,urusha,54.05,122.9,-34.6,79,37,3.58,RU,1611782191
270,belmonte,-15.8631,-38.8828,78.8,69,20,8.05,BR,1611782227
271,surt,31.2089,16.5887,57.58,61,75,12.37,LY,1611782680
272,saint george,37.1041,-113.5841,44.01,49,90,16.11,US,1611782168
273,bulgan,48.8125,103.5347,-8.93,81,20,2.64,MN,1611782680
274,alofi,-19.0595,-169.9187,80.6,83,90,10.36,NU,1611782154
275,medicine hat,50.0501,-110.6683,21.0,73,90,6.91,CA,1611782681
276,kiruna,67.8557,20.2251,14.0,92,90,4.61,SE,1611782681
277,inuvik,68.3499,-133.7218,-13.0,77,100,2.3,CA,1611782395
278,mikuni,36.2171,136.1519,41.0,70,75,12.66,JP,1611782681
279,magadan,59.5667,150.8,-14.12,78,0,8.72,RU,1611782232
280,bang saphan,11.2126,99.5117,73.76,92,13,1.32,TH,1611782682
281,iseyin,7.9667,3.6,80.4,48,29,6.89,NG,1611782682
282,mitu,1.1983,-70.1733,80.76,91,94,2.93,CO,1611782682
283,kalemie,-5.9475,29.1947,70.27,81,69,2.42,CD,1611782682
284,ukiah,39.1502,-123.2078,53.6,66,90,11.5,US,1611782682
285,debre zeyit,8.75,38.9833,55.98,35,0,3.83,ET,1611782682
286,guerrero negro,27.9769,-114.0611,63.32,38,100,8.16,MX,1611782141
287,tukrah,32.5341,20.5791,53.91,58,86,11.88,LY,1611782683
288,nortelandia,-14.4547,-56.8028,82.81,80,98,3.42,BR,1611782683
289,jamkhed,18.7362,75.3121,70.68,37,0,8.43,IN,1611782683
290,byumba,-1.5763,30.0675,66.2,82,75,3.44,RW,1611782683
291,kota belud,6.351,116.4305,77.0,88,20,3.44,MY,1611782683
292,klyuchi,52.2667,79.1667,22.87,98,100,7.56,RU,1611782684
293,firminopolis,-16.5819,-50.305,77.7,84,41,3.44,BR,1611782684
294,touros,-5.1989,-35.4608,80.6,78,40,13.8,BR,1611782195
295,akot,21.0964,77.0586,64.22,42,0,3.78,IN,1611782684
296,scarborough,54.2797,-0.4044,39.0,93,99,6.91,GB,1611782684
297,sao joao da barra,-21.6403,-41.0511,80.6,54,0,20.71,BR,1611782167
298,lata,40.1629,-8.3327,57.99,94,99,0.51,PT,1611782220
299,mar del plata,-38.0023,-57.5575,69.8,52,0,11.5,AR,1611781965
300,diffa,13.3154,12.6113,71.83,18,0,9.46,NE,1611782685
301,sur,22.5667,59.5289,67.21,71,0,8.41,OM,1611782685
302,havre-saint-pierre,50.2334,-63.5986,23.0,54,90,9.22,CA,1611782212
303,santa cruz,-17.8,-63.1667,75.2,94,75,6.91,BO,1611782611
304,marsh harbour,26.5412,-77.0636,77.02,76,4,13.11,BS,1611782587
305,novyy urengoy,66.0833,76.6333,-43.13,81,31,5.1,RU,1611782483
306,kaitangata,-46.2817,169.8464,51.01,84,65,4.0,NZ,1611782159
307,puerto penasco,31.3167,-113.5333,60.01,57,86,5.99,MX,1611782686
308,mehamn,71.0357,27.8492,24.8,68,75,13.8,NO,1611782686
309,arman,59.7,150.1667,-15.36,80,0,10.49,RU,1611782686
310,pangkalanbuun,-2.6833,111.6167,73.72,96,100,3.04,ID,1611782686
311,malayal,7.208,121.942,75.2,94,20,1.14,PH,1611782686
312,peruibe,-24.32,-46.9983,87.31,65,100,5.37,BR,1611782403
313,alikovo,55.7383,46.7549,24.8,86,90,17.9,RU,1611782686
314,porto novo,6.4965,2.6036,84.2,84,20,12.66,BJ,1611782687
315,iralaya,15.0,-83.2333,81.66,68,24,11.99,HN,1611782687
316,tautira,-17.7333,-149.15,84.2,70,75,4.61,PF,1611782687
317,princeton,25.5384,-80.4089,86.0,45,40,10.36,US,1611782424
318,raduzhnyy,62.0961,77.475,-38.18,80,41,4.23,RU,1611782687
319,jalu,29.0331,21.5482,50.41,58,0,9.42,LY,1611782687
320,baillif,16.0202,-61.7463,73.4,88,75,6.91,GP,1611782687
321,boa vista,2.8197,-60.6733,86.0,58,75,9.22,BR,1611782688
322,coquimbo,-29.9533,-71.3436,66.2,68,0,12.66,CL,1611782030
323,kaeo,-35.1,173.7833,69.01,82,15,3.0,NZ,1611782688
324,mahina,-17.5065,-149.489,84.2,70,75,4.61,PF,1611782688
325,turayf,31.6725,38.6637,53.6,47,0,4.61,SA,1611782688
326,ulaangom,49.9811,92.0667,-16.58,87,91,1.21,MN,1611782689
327,namibe,-15.1961,12.1522,74.57,78,69,9.17,AO,1611782173
328,dryden,49.7833,-92.7503,-2.2,65,1,2.3,CA,1611782569
329,gat,31.61,34.7642,57.0,61,87,5.99,IL,1611782043
330,tomatlan,19.9333,-105.25,83.61,50,0,7.94,MX,1611782689
331,korla,41.7597,86.1469,20.19,83,0,3.0,CN,1611782136
332,corowa,-36.0333,146.3833,69.01,68,98,8.23,AU,1611782689
333,whyalla,-33.0333,137.5833,66.2,88,83,3.44,AU,1611782689
334,piacabucu,-10.4056,-36.4344,79.09,77,11,10.49,BR,1611782690
335,bollnas,61.3482,16.3946,18.0,97,82,2.98,SE,1611782690
336,kangaatsiaq,68.3065,-53.4641,4.93,91,20,9.35,GL,1611782154
337,kodiak,57.79,-152.4072,33.8,75,90,5.03,US,1611782139
338,burnie,-41.0667,145.9167,54.37,67,84,16.58,AU,1611782690
339,haines junction,60.7522,-137.5108,-11.2,58,85,1.14,CA,1611782143
340,perth,-31.9333,115.8333,61.0,51,0,10.36,AU,1611782528
341,kenai,60.5544,-151.2583,12.99,85,1,3.44,US,1611782691
342,hokitika,-42.7167,170.9667,59.16,75,10,15.43,NZ,1611782691
343,marsa matruh,31.3525,27.2453,55.4,50,40,8.05,EG,1611782691
344,itarema,-2.9248,-39.9167,81.03,74,31,14.63,BR,1611782163
345,novoaleksandrovsk,45.4948,41.2207,36.32,84,100,8.63,RU,1611782691
346,miyako,39.6367,141.9525,31.66,87,100,6.35,JP,1611782692
347,tucuman,-26.8241,-65.2226,91.4,35,75,2.82,AR,1611781994
348,licheng,23.2955,113.8284,66.0,63,90,8.95,CN,1611782692
349,teya,60.3778,92.6267,-28.34,81,100,1.72,RU,1611782159
350,eureka,40.8021,-124.1637,48.99,81,100,8.01,US,1611782692
351,seymchan,62.8833,152.4333,-37.93,80,95,1.1,RU,1611782207
352,arequipa,-16.3989,-71.535,71.6,24,20,13.8,PE,1611782643
353,gusau,12.1628,6.6614,73.47,19,17,9.98,NG,1611782693
354,kulhudhuffushi,6.6221,73.07,80.67,68,17,10.54,MV,1611782176
355,rambha,19.5167,85.1,70.14,85,38,2.35,IN,1611782693
356,bacolod,10.6667,122.95,76.95,80,100,8.57,PH,1611782559
357,jiayuguan,39.8167,98.3,17.19,71,0,0.96,CN,1611782693
358,mitsamiouli,-11.3847,43.2844,82.13,66,1,6.62,KM,1611782693
359,temple,31.0982,-97.3428,61.0,38,1,16.11,US,1611782694
360,kahului,20.8947,-156.47,78.8,65,40,25.32,US,1611782197
361,dakoro,14.5106,6.765,71.26,15,0,12.24,NE,1611782694
362,rosetta,31.4044,30.4164,60.8,48,40,14.97,EG,1611782694
363,nantucket,41.2835,-70.0995,37.99,93,90,8.05,US,1611782694
364,kununurra,-15.7667,128.7333,77.0,100,90,5.75,AU,1611782437
365,nikolayevsk-na-amure,53.1406,140.73,-0.92,90,100,4.88,RU,1611782695
366,uusikaupunki,60.8004,21.4084,28.4,93,90,5.75,FI,1611782167
367,malabo,3.75,8.7833,80.6,89,20,8.05,GQ,1611782695
